;Fecha;Contagios acum;Activos;Muertes;Recuperados;Contagios por dia;Ciudad
0;16/03/2020;2;2;0;0;2;Barranquilla
1;19/03/2020;5;5;0;0;3;Barranquilla
2;21/03/2020;7;7;0;0;2;Barranquilla
3;24/03/2020;9;7;0;2;2;Barranquilla
4;25/03/2020;12;9;0;3;3;Barranquilla
5;27/03/2020;13;9;0;4;1;Barranquilla
6;28/03/2020;16;11;0;5;3;Barranquilla
7;29/03/2020;20;14;0;6;4;Barranquilla
8;30/03/2020;21;11;0;10;1;Barranquilla
9;31/03/2020;29;18;0;11;8;Barranquilla
10;1/04/2020;31;20;0;11;2;Barranquilla
11;3/04/2020;40;26;1;13;9;Barranquilla
12;5/04/2020;42;28;1;13;2;Barranquilla
13;6/04/2020;43;28;1;14;1;Barranquilla
14;7/04/2020;46;31;1;14;3;Barranquilla
15;8/04/2020;49;30;1;18;3;Barranquilla
16;9/04/2020;55;35;2;18;6;Barranquilla
17;10/04/2020;60;40;2;18;5;Barranquilla
18;11/04/2020;64;44;2;18;4;Barranquilla
19;12/04/2020;66;45;2;19;2;Barranquilla
20;13/04/2020;67;46;2;19;1;Barranquilla
21;14/04/2020;69;48;2;19;2;Barranquilla
22;16/04/2020;70;47;2;21;1;Barranquilla
23;17/04/2020;72;48;2;22;2;Barranquilla
24;18/04/2020;75;51;2;22;3;Barranquilla
25;19/04/2020;77;49;2;26;2;Barranquilla
26;20/04/2020;78;48;3;27;1;Barranquilla
27;21/04/2020;82;52;3;27;4;Barranquilla
28;22/04/2020;85;52;4;29;3;Barranquilla
29;23/04/2020;87;54;4;29;2;Barranquilla
30;24/04/2020;92;55;4;33;5;Barranquilla
31;25/04/2020;99;59;7;33;7;Barranquilla
32;26/04/2020;111;68;7;36;12;Barranquilla
33;27/04/2020;129;85;7;37;18;Barranquilla
34;28/04/2020;138;93;7;38;9;Barranquilla
35;29/04/2020;140;95;7;38;2;Barranquilla
36;30/04/2020;159;111;10;38;19;Barranquilla
37;1/05/2020;164;113;13;38;5;Barranquilla
38;2/05/2020;196;141;15;40;32;Barranquilla
39;3/05/2020;242;184;17;41;46;Barranquilla
40;4/05/2020;253;192;18;43;11;Barranquilla
41;5/05/2020;298;228;21;49;45;Barranquilla
42;6/05/2020;305;221;22;62;7;Barranquilla
