,Fecha,Contagios acum,Activos,Muertes,Recuperados,Contagios por dia,Ciudad
0,2020-03-16,2,2,0,0,2,Barranquilla
1,2020-03-19,5,5,0,0,3,Barranquilla
2,2020-03-21,7,7,0,0,2,Barranquilla
3,2020-03-24,9,7,0,2,2,Barranquilla
4,2020-03-25,12,9,0,3,3,Barranquilla
5,2020-03-27,13,9,0,4,1,Barranquilla
6,2020-03-28,16,11,0,5,3,Barranquilla
7,2020-03-29,20,14,0,6,4,Barranquilla
8,2020-03-30,21,11,0,10,1,Barranquilla
9,2020-03-31,29,18,0,11,8,Barranquilla
10,2020-04-01,31,20,0,11,2,Barranquilla
11,2020-04-03,40,26,1,13,9,Barranquilla
12,2020-04-05,42,28,1,13,2,Barranquilla
13,2020-04-06,43,28,1,14,1,Barranquilla
14,2020-04-07,46,31,1,14,3,Barranquilla
15,2020-04-08,49,30,1,18,3,Barranquilla
16,2020-04-09,55,35,2,18,6,Barranquilla
17,2020-04-10,60,40,2,18,5,Barranquilla
18,2020-04-11,64,44,2,18,4,Barranquilla
19,2020-04-12,66,45,2,19,2,Barranquilla
20,2020-04-13,67,46,2,19,1,Barranquilla
21,2020-04-14,69,48,2,19,2,Barranquilla
22,2020-04-16,70,47,2,21,1,Barranquilla
23,2020-04-17,72,48,2,22,2,Barranquilla
24,2020-04-18,75,51,2,22,3,Barranquilla
25,2020-04-19,77,49,2,26,2,Barranquilla
26,2020-04-20,78,48,3,27,1,Barranquilla
27,2020-04-21,82,52,3,27,4,Barranquilla
28,2020-04-22,85,52,4,29,3,Barranquilla
29,2020-04-23,87,54,4,29,2,Barranquilla
30,2020-04-24,92,55,4,33,5,Barranquilla
31,2020-04-25,99,59,7,33,7,Barranquilla
32,2020-04-26,111,68,7,36,12,Barranquilla
33,2020-04-27,129,85,7,37,18,Barranquilla
34,2020-04-28,138,93,7,38,9,Barranquilla
35,2020-04-29,140,95,7,38,2,Barranquilla
36,2020-04-30,159,111,10,38,19,Barranquilla
37,2020-05-01,164,113,13,38,5,Barranquilla
38,2020-05-02,196,141,15,40,32,Barranquilla
39,2020-05-03,242,184,17,41,46,Barranquilla
40,2020-05-04,253,192,18,43,11,Barranquilla
41,2020-05-05,298,228,21,49,45,Barranquilla
42,2020-05-06,305,221,22,62,7,Barranquilla
43,2020-05-07,322,234,23,65,17,Barranquilla
44,2020-05-08,380,285,26,69,58,Barranquilla
45,2020-05-09,391,294,26,71,11,Barranquilla
46,2020-05-10,426,324,28,74,35,Barranquilla
47,2020-05-11,450,341,30,79,24,Barranquilla
48,2020-05-12,487,375,32,80,37,Barranquilla
49,2020-05-13,591,474,32,85,104,Barranquilla
50,2020-05-14,653,527,34,92,62,Barranquilla
51,2020-05-15,714,571,35,108,61,Barranquilla
52,2020-05-16,745,599,36,110,31,Barranquilla
53,2020-05-17,828,678,37,113,83,Barranquilla
54,2020-05-18,850,687,38,125,22,Barranquilla
55,2020-05-19,886,711,43,132,36,Barranquilla
56,2020-05-20,952,762,45,145,66,Barranquilla
57,2020-05-21,1035,817,47,171,83,Barranquilla
58,2020-05-22,1093,856,53,184,58,Barranquilla
59,2020-05-23,1236,982,57,197,143,Barranquilla
60,2020-05-24,1340,1064,62,214,104,Barranquilla
61,2020-05-25,1374,1077,65,232,34,Barranquilla
62,2020-05-26,1465,1130,77,258,91,Barranquilla
63,2020-05-27,1509,1144,82,283,44,Barranquilla
64,2020-05-28,1590,1181,91,318,81,Barranquilla
65,2020-05-29,1671,1238,97,336,81,Barranquilla
66,2020-05-30,1861,1398,110,353,190,Barranquilla
67,2020-05-31,1984,1433,118,433,123,Barranquilla
68,2020-06-01,2079,1450,133,496,95,Barranquilla
69,2020-06-02,2261,1539,150,572,182,Barranquilla
70,2020-06-03,2399,1579,179,641,138,Barranquilla
71,2020-06-04,2719,1823,195,701,320,Barranquilla
72,2020-06-05,2921,1904,215,802,202,Barranquilla
73,2020-06-06,3105,2019,234,852,184,Barranquilla
74,2020-06-07,3282,2058,258,966,177,Barranquilla
75,2020-06-08,3418,2049,278,1091,136,Barranquilla
76,2020-06-09,3664,2225,307,1132,246,Barranquilla
77,2020-06-10,3883,2358,330,1195,219,Barranquilla
78,2020-06-11,4086,2481,359,1246,203,Barranquilla
79,2020-06-12,4477,2759,387,1331,391,Barranquilla
80,2020-06-13,4763,2968,413,1382,286,Barranquilla
81,2020-06-14,5091,3223,446,1422,328,Barranquilla
82,2020-06-15,5887,3955,475,1457,796,Barranquilla
83,2020-06-16,6160,4151,516,1493,273,Barranquilla
